problem,run,direction,target_cost_usd,total_cost_usd,closest_commit_hash,closest_commit_short,closest_commit_cost_usd,closest_commit_delta_from_50_usd,closest_commit_subject,best_score_at_closest_cutoff,best_score_commit,best_score_commit_cost_usd,best_score_commit_subject
Erdos Min Overlap,erdos_min_overlap,minimize,50.00,256.624105,65e6744865fc497d26695cbf6bc1941c555c8ab1,65e6744,46.762670,-3.237330,Fourier-parameterized DE global search + JAX gradient refinement | score = 0.381118,0.38108,18cc274,41.081487,Projected subgradient with momentum for Erdos overlap minimization | score = 0.38108
MMD-14-3 / Min-Max-3,mmd_14_3,maximize,50.00,236.558449,1098564e1de2a6ee47578c5dbfc716eff55f4d75,1098564,48.482798,-1.517202,Dual annealing global optimization for 14-point min/max ratio | score = 0.99160387200025,1.00000180447,3479770,15.289139,Free 3D optimization with analytical gradient smooth ratio objective | score = 1.0000018044728514
3rd-Autocorrelation,third_autocorr_ineq,maximize,50.00,169.457404,0552cd2720b55bf24a837c5308ff53bc820a88be,0552cd2,48.280899,-1.719101,N=1400 with 25 random restarts and different seed family (seed*251+1337) | score = 0.9971,0.9985,3180635,39.756658,3 seeds through p-norm sweep + 25 hard refinement trials | score = 0.9985
EPLB,eplb,maximize,50.00,119.465996,12b8052acd85d63ad56fd74e22849e8d16428bb4,12b8052,50.491665,0.491665,Test LPT packing + global replication: confirm 0.285 ceiling is hard | score = 0.1436,0.1436,3aead43,34.074900,Numpy greedy replication + vectorized snake GPU packing | score = 0.1436
LLM-SQL,llm_sql,maximize,50.00,242.034517,401bb5936cff53f9568954915e168c87ec0d3521,401bb59,51.413700,1.413700,Sort + fixed column ordering for trie-based prefix caching | score = 0.7033,0.7331,2212973,46.150471,Adaptive column ordering selection (greedy vs simple) with lexicographic sort | score = 0.7331
Txn Scheduling,txn_scheduling,maximize,50.00,139.696300,3a88668b66c8e82a158037555663adfe893310b5,3a88668,49.885557,-0.114443,"Iterated Greedy with NEH construction: NEH builds high-quality initial solution, IG refines via destroy/reconstruct | score = 4366.812227074236",4366.81222707,3a88668,49.885557,"Iterated Greedy with NEH construction: NEH builds high-quality initial solution, IG refines via destroy/reconstruct | score = 4366.812227074236"
Cloudcast,cloudcast,maximize,50.00,19.896351,1e9bfa0bda084e304ddb963ac6785b91aca030b1,1e9bfa0,19.810329,-30.189671,Steiner tree broadcast via greedy cheapest insertion with all permutations | score = 0.0015923566878980893,0.0016155088853,da643f7,18.083026,Dreyfus-Wagner DP for exact minimum Steiner arborescence | score = 0.0016155088852988692
Circle Packing,circle_packing,maximize,50.00,215.252879,43aacba8f7b564949c26060b696a242142e7cfd5,43aacba,48.048300,-1.951700,L-BFGS-B penalty method with hard-coded optimized centers | score = 2.6299,2.636,959a6b0,40.269906,"Penalty method with joint center+radii optimization (numpy only, custom L-BFGS-B) | score = 2.636"
Signal Processing,signal_processing,maximize,50.00,111.872309,92b10f2607a840ce15d3961ac20801783c951cd4,92b10f2,48.202264,-1.797736,Adaptive reversal suppression (relative amp threshold) replaces fixed threshold | score = 0.797,0.797,92b10f2,48.202264,Adaptive reversal suppression (relative amp threshold) replaces fixed threshold | score = 0.797
Prism,prism,maximize,50.00,41.594819,b23a227c9aed9e928ddb95d0a303abdf9c1c1aba,b23a227,40.078757,-9.921243,Exact branch-and-bound bin packing solver confirms global optimality | score = 26.255971749535238,26.256,c8330cd,11.388373,Binary search binpack + multi-start greedy + local search (moves & swaps) | score = 26.256
